COMID,LatSite,LonSite
8921935,38.9645,-119.8493194
8922761,38.7012952,-119.6565614
8933376,39.4565717,-120.2871477
10736789,39.1524611,-119.0988889
946050152,38.51324495,-119.4498872
8942469,39.17213045,-119.907963
8922273,38.87901944,-119.702711
8915961,38.32491807,-119.212098
8922761,38.70407294,-119.6590615
8944411,38.966019,-119.937125
8915935,38.17214225,-119.3246032
8941685,39.1321292,-120.1576913
11432263,39.18137778,-119.6948694
8933532,39.42796385,-120.0340873
8914771,38.44074975,-119.1059819
8933684,39.3887962,-120.096309
8944439,38.9224078,-119.9915706
8933376,39.45184949,-120.2907588
8935004,39.4657449,-119.7285199
10743426,38.8096366,-119.227377
8920165,39.012408,-119.8310126
10743558,38.6932333,-119.5203083
8922715,38.7146274,-119.7648985
8933736,39.37324026,-120.131587
8922549,38.79379494,-119.672673
8933876,39.3235172,-120.2343654
8919967,39.15379796,-119.8079599
8934074,39.16629577,-120.1443586
8915819,38.441583,-119.1309831
8933890,39.32101739,-120.2079759
8915991,38.1679756,-119.3268255
8915907,38.23880787,-119.3259923
11432929,39.165275,-119.722225
8935432,39.20227778,-119.8710833
8933684,39.38685177,-120.0954757
10742328,38.72806389,-119.427861
8942951,39.172975,-119.905511
8920187,39.00046356,-119.8510127
8933522,39.43157246,-120.2379793
10744424,38.3796366,-119.4501649
8934496,39.3249056,-120.2824223
8919959,39.17629816,-119.805738
8932612,39.6126902,-119.2971146
8920579,39.11324216,-119.7982365
8924041,38.76962765,-119.833789
8933720,39.3793513,-120.1376984
8915395,38.15408664,-119.3504377
8933958,39.2962952,-120.2054752
8922743,38.7086111,-119.648611
8931976,39.5243537,-119.9954782
8933706,39.38518517,-120.0876977
8941693,39.10740708,-120.1621352
8941733,39.05185197,-120.1185209
8944453,38.9199077,-119.9724036
8945207,38.93213,-119.9787926
8922339,38.84519444,-119.7060833
8943677,38.8485185,-120.0271275
10742454,38.6485235,-119.3259925
8941685,39.1407401,-120.2121377
8942501,39.08740806,-119.9399057
8942879,39.2401855,-119.9449106
8932092,39.5204672,-119.7010198
11432099,39.29166667,-119.311111
8933494,39.43574106,-120.084366
8942877,39.24046325,-119.9465774
8932012,39.53018865,-119.7954684
8932212,39.5129672,-119.712409
8941677,39.1807402,-120.1193583
8931712,39.58463448,-119.4412872
8920583,39.10768747,-119.7132334
8922717,38.7168505,-119.6601726
8931774,39.56879988,-119.7265766
11314309,39.7773722,-119.3375222
8932072,39.52657819,-119.7093535
8932132,39.50713218,-119.931864
8922755,38.7108333,-119.6630556
8915933,38.17380969,-119.2337656
11313919,39.63213447,-119.2832254
8931816,39.56545278,-119.486186
8915857,38.3276958,-119.2148759
8935822,39.3771333,-119.7436583
8932654,39.51761667,-119.7416444
8931902,39.55657878,-119.5532362
8935786,39.4951111,-119.8945
8933230,39.47046319,-120.1040897
8933152,39.4915715,-120.2927043
19784451,36.65245145,-120.6321186
2828012,37.31549247,-121.1252081
17683342,37.05133748,-121.9391252
19784319,36.8105046,-120.3782256
8205487,36.26802087,-121.066303
17673639,36.36079387,-120.7607315
8189809,36.24579648,-121.7732872
17604479,36.7049586,-121.7049475
17600477,36.47440615,-121.7288364
948060250,36.98744858,-121.5271622
17665491,36.9393968,-121.7705065
17682446,37.0552261,-122.0413516
2829226,37.3504928,-120.97715
19771543,37.29513418,-120.8436176
19791955,36.98439397,-119.7243124
2805485,37.51527778,-122.3558333
19771455,37.3099386,-120.9310369
17661713,37.00550594,-121.8080085
14882615,36.40217399,-120.4334917
8205291,36.28052076,-121.3227063
17663281,36.9002307,-121.5977215
17682474,37.0443931,-122.072464
8211251,35.9302434,-120.8687915
14883269,36.21467719,-120.4707116
19791921,36.9980051,-119.7040338
2806745,37.577434,-121.857734
17599295,36.5391278,-121.8805084
17684066,36.9907832,-122.0319076
8209949,35.78857918,-121.0938048
17687407,37.54882698,-122.4221961
17663521,36.85189909,-121.4299368
17663805,36.76579177,-121.2996532
8200523,36.631071,-121.672446
2829148,37.45410365,-120.6088084
17647991,35.71719096,-120.6401683
17684378,36.9913389,-121.9557933
2823750,37.666321,-120.4421394
8212787,35.76135678,-120.855458
8212843,35.6285813,-120.6843373
17694137,37.3738296,-121.9330129
19777307,37.24771864,-120.8521446
8205489,36.39968708,-121.3240962
2806865,37.5404908,-121.856345
17665649,36.60940609,-121.2029797
8200795,36.55357267,-121.5493856
2806807,37.56132196,-121.6838389
17688105,37.26077707,-122.3288602
17663037,36.98,-121.3802778
948060170,36.411076,-121.3193738
19771685,37.26244,-120.9065908
17693069,37.25438808,-122.039404
2809859,37.46160337,-121.769397
2823750,37.66576548,-120.4410283
2829236,37.3472151,-120.9761777
17687965,37.3257762,-122.3866404
8203373,36.23746164,-121.4816027
2819818,37.72965078,-121.1104934
17693217,37.42327257,-122.1894095
2823750,37.67243198,-120.4749183
17684082,36.99856108,-122.1213554
17605309,36.75579196,-121.6105005
17694891,37.07772286,-121.4943832
2827158,37.41354657,-121.0160412
2804901,37.71770737,-122.0544067
17080371,37.7015978,-120.4221392
2806725,37.58715679,-121.960793
2823972,37.627153,-120.9843777
2824504,37.5216029,-120.3324114
17687875,37.43494048,-122.3741392
17693219,37.4216062,-122.1355193
21609641,37.71687138,-119.6662788
2803945,37.69520825,-122.044962
17695611,37.4221617,-121.9274577
2804369,37.6060452,-122.0238504
2804929,37.6840977,-122.1399649
2808553,37.62326509,-121.7588418
21610419,37.53882469,-119.6621022
17684374,36.9763396,-121.9024573
17687547,37.52466087,-122.3994177
2827982,37.48659935,-121.2091026
2806395,37.69444444,-121.9194444
8210533,35.89663404,-121.0882491
2803985,37.6799311,-122.0805186
2828044,37.43187949,-121.0138193
